"Subject" "Activity" "TimeBodyAccelerometerMean()-X" "TimeBodyAccelerometerMean()-Y" "TimeBodyAccelerometerMean()-Z" "TimeBodyAccelerometerSTD()-X" "TimeBodyAccelerometerSTD()-Y" "TimeBodyAccelerometerSTD()-Z" "TimeGravityAccelerometerMean()-X" "TimeGravityAccelerometerMean()-Y" "TimeGravityAccelerometerMean()-Z" "TimeGravityAccelerometerSTD()-X" "TimeGravityAccelerometerSTD()-Y" "TimeGravityAccelerometerSTD()-Z" "TimeBodyAccelerometerJerkMean()-X" "TimeBodyAccelerometerJerkMean()-Y" "TimeBodyAccelerometerJerkMean()-Z" "TimeBodyAccelerometerJerkSTD()-X" "TimeBodyAccelerometerJerkSTD()-Y" "TimeBodyAccelerometerJerkSTD()-Z" "TimeBodyGyroscopeMean()-X" "TimeBodyGyroscopeMean()-Y" "TimeBodyGyroscopeMean()-Z" "TimeBodyGyroscopeSTD()-X" "TimeBodyGyroscopeSTD()-Y" "TimeBodyGyroscopeSTD()-Z" "TimeBodyGyroscopeJerkMean()-X" "TimeBodyGyroscopeJerkMean()-Y" "TimeBodyGyroscopeJerkMean()-Z" "TimeBodyGyroscopeJerkSTD()-X" "TimeBodyGyroscopeJerkSTD()-Y" "TimeBodyGyroscopeJerkSTD()-Z" "TimeBodyAccelerometerMagnitudeMean()" "TimeBodyAccelerometerMagnitudeSTD()" "TimeGravityAccelerometerMagnitudeMean()" "TimeGravityAccelerometerMagnitudeSTD()" "TimeBodyAccelerometerJerkMagnitudeMean()" "TimeBodyAccelerometerJerkMagnitudeSTD()" "TimeBodyGyroscopeMagnitudeMean()" "TimeBodyGyroscopeMagnitudeSTD()" "TimeBodyGyroscopeJerkMagnitudeMean()" "TimeBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyAccelerometerMean()-X" "FrequencyBodyAccelerometerMean()-Y" "FrequencyBodyAccelerometerMean()-Z" "FrequencyBodyAccelerometerSTD()-X" "FrequencyBodyAccelerometerSTD()-Y" "FrequencyBodyAccelerometerSTD()-Z" "FrequencyBodyAccelerometerJerkMean()-X" "FrequencyBodyAccelerometerJerkMean()-Y" "FrequencyBodyAccelerometerJerkMean()-Z" "FrequencyBodyAccelerometerJerkSTD()-X" "FrequencyBodyAccelerometerJerkSTD()-Y" "FrequencyBodyAccelerometerJerkSTD()-Z" "FrequencyBodyGyroscopeMean()-X" "FrequencyBodyGyroscopeMean()-Y" "FrequencyBodyGyroscopeMean()-Z" "FrequencyBodyGyroscopeSTD()-X" "FrequencyBodyGyroscopeSTD()-Y" "FrequencyBodyGyroscopeSTD()-Z" "FrequencyBodyAccelerometerMagnitudeMean()" "FrequencyBodyAccelerometerMagnitudeSTD()" "FrequencyBodyAccelerometerJerkMagnitudeMean()" "FrequencyBodyAccelerometerJerkMagnitudeSTD()" "FrequencyBodyGyroscopeMagnitudeMean()" "FrequencyBodyGyroscopeMagnitudeSTD()" "FrequencyBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyGyroscopeJerkMagnitudeSTD()"
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.91983805368421 -0.207548374494737 0.113093646103158 0.0799407763368421 -0.167359936813684 0.174964719959684 0.0141932039235863 -0.505929276 -0.285106208994737 -0.949656491052632 0.868920798947368 -0.293611496842105 -0.0628860656842105 0.947006739157895 -0.260094338736842 -0.467556403052632 -0.290875778378947 -0.313974122042105 -0.701462939789474 -0.397083819347368 -0.516455299389474 -0.0383923339084211 -0.191309860546316 -0.362106180705263 0.490554924315789 -0.041830963526 -0.0695300462115789 -0.298868374852632 -0.308382465378947 0.0129696855126316 -0.0630329306810526 -0.428567488736842 -0.409432594 -0.0335081597884211 -0.436562227473684 0.251467955758947 -0.263323326876842 0.482780546 -0.334593851089474 -0.625845561684211 -0.221191379542105 -0.625925512842105 -0.382491789137895 -0.298703679084211 -0.325324878894737 -0.361842899578947 -0.331267768884211 -0.531885493105263 -0.298703679084211 -0.885825048 -0.817461518 -0.915448924210526 -0.944771973052632 -0.876076047157895 -0.865699984947368 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.92307692 -0.418735000377359 -0.160697213516981 0.134340677858491 -0.327397149962264 0.226589616607547 -0.397459102264151 -0.701805293396226 -0.583564006037736 -0.915071633773585 0.834566491886792 -0.365260562075472 -0.0611896648566038 0.89811253754717 -0.343993198679245 -0.677587858679245 -0.613967666226415 -0.64001166754717 -0.587025707924528 -0.858675862641509 -0.860496242264151 -0.305264220962264 -0.311294003566038 -0.169377561701887 0.312909699716981 0.050549379754717 -0.166170015088679 -0.356793566698113 -0.510063359433962 -0.169734054533962 -0.364162675924528 -0.673591962075472 -0.603776643207547 0.151538905566038 -0.57170784 0.204362989266038 -0.394792928113208 0.314803077192453 -0.301908590471698 -0.40799260359434 0.495960300943396 0.286779083698113 -0.441956560339623 -0.59488286509434 -0.648553044339623 -0.664196540943396 -0.657827676603774 -0.60388198754717 -0.59488286509434 -0.955341683584906 -0.953520379811321 -0.98084875754717 -0.98321603245283 -0.961826089245283 -0.965017288867924 -0.352395944716981 -0.416260101509434 -0.44265216245283 -0.533059853773585 -0.325961457396226 -0.182985518264151 -0.634665082075472 -0.693930521509434
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 -0.924646779387755 -0.307395198687755 0.0632200839346939 0.276300963816327 -0.121436208734694 0.155332861145102 -0.125215773887755 -0.35181744977551 -0.287578217040816 -0.897914718979592 0.875865664081633 -0.269610437346939 -0.0464827635716327 0.935563321428571 -0.255517232653061 -0.316282433673469 -0.169694122632653 -0.388498957306122 -0.693497416122449 -0.684417220204082 -0.594216842040816 0.189908398910204 -0.260082935612245 -0.357838717367347 0.116034018020408 -0.0350781902989796 -0.0909371290204082 -0.27461674777551 -0.0566325422573469 -0.0101049480204082 -0.191032660469388 -0.390362072365306 -0.226432215061224 -0.181414728657143 -0.238443565306122 0.202379802653061 -0.0233813369693878 0.377723850408163 -0.24153299954898 -0.454334035265306 -0.441510551020408 -0.786164025306123 -0.299005046612245 -0.295463843346939 -0.306510645530612 -0.371624305102041 -0.281520139204082 -0.446797332367347 -0.295463843346939 -0.828585211836735 -0.73368397755102 -0.805101292857143 -0.862032036326531 -0.751561959183674 -0.789690503673469 0.0965845343040816 -0.186530301073469 0.0262184949326531 -0.104052260726531 -0.185720285744898 -0.398350390122449 -0.281963359177551 -0.391919876612245
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.898527004255319 -0.0495135975489362 0.0759460768510638 -0.00412059408510638 0.1686773395 -0.129112633042553 -0.982650483617021 -0.987215581702128 -0.98953561 -0.950070108510638 0.76845271893617 0.188173388702128 0.331910236382979 0.843385717021277 0.205339023787234 -0.987453448297872 -0.98575278893617 -0.987556872765957 -0.998989667234043 -0.999413425744681 -0.999259357234043 0.217507940023404 -0.191779398687234 0.159929065085106 0.0165644228659574 -0.045350056512766 -0.0919241549361702 -0.176244051855319 0.0163262484893617 0.00767758642553192 0.152511136276596 -0.989509710212766 -0.98411784 -0.962345042553192 -0.94391784106383 0.158765734893617 0.0893863920955319 -0.0993814816382979 0.11770854623617 -0.525339902297872 -0.159716486306383 -0.514621024412766 0.0916162731889362 -0.991976341276596 -0.988308728510638 -0.98872534787234 -0.9894196 -0.992903535106383 -0.991976341276596 -0.998728197446809 -0.99934528 -0.99939998106383 -0.998903638723404 -0.997688669148936 -0.99574844787234 -0.947782922553192 -0.928444801702128 -0.985262126808511 -0.981606177446808 -0.958435589361702 -0.932198374893617 -0.989797547234043 -0.987049617234043
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.882438316226415 0.0865153619088679 0.117478948718868 0.0807014957641509 0.185333378811321 -0.1383467407 -0.986769867735849 -0.991670906603774 -0.996142467735849 -0.977041427924528 0.870122118867925 -0.288332920943396 0.00970054607320755 0.961168260943396 -0.248024904528302 -0.99137477245283 -0.994305414339623 -0.989882872075472 -0.999788466603774 -0.999844376792453 -0.999770308490566 0.210956762773585 -0.0829516195943396 0.156032601584906 0.0744326620490566 -0.0239877347979245 -0.0593972209811321 -0.0532496666603774 0.0571235067245283 -0.0262946998830189 -0.00512713848867925 -0.994906439811321 -0.989576411509434 -0.987107727735849 -0.98234533 0.167140849451132 0.103432557849057 0.10645139985283 -0.0374820999679245 -0.509768294339623 -0.247692568509434 -0.60160664554717 -0.315111716283019 -0.994966790566038 -0.994733238679245 -0.995280235660377 -0.994211750566038 -0.991342545471698 -0.994966790566038 -0.99975335245283 -0.999799944528302 -0.999826126792453 -0.999764903962264 -0.999544029622642 -0.999490641698113 -0.985356361132075 -0.982313804716981 -0.99254247754717 -0.992536003396226 -0.984617623396226 -0.978466072075472 -0.994815376981132 -0.994671123207547
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.85384615334 -0.158792670508 0.097534841586 0.14656522416 0.17603638864 -0.104318251058 -0.9304323224 -0.9568036188 -0.9752260554 -0.85496697974 -0.28037369606 0.6851134531 0.4693929762 -0.236157682494 0.6921133129 -0.9592706186 -0.9565454106 -0.9442716378 -0.9608458736 -0.9910523322 -0.9955194022 0.1275149057 -0.04245357008 0.146174602854 -0.022012200614 -0.016553093978 -0.064486124088 -0.03501598571 -0.05703821757 -0.056377897954 0.252542752996 -0.9675340198 -0.9431306684 -0.9512320494 -0.9165825082 0.137709403596 0.011832115666 0.06825486252 -0.038780932678 -0.468622719456 -0.06489623136 -0.382973952658 -0.0592593172 -0.96346103 -0.9358409828 -0.9481355368 -0.9338483356 -0.983709768 -0.96346103 -0.9859060426 -0.9980478558 -0.9979330042 -0.9949394678 -0.9870911118 -0.9819112932 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.747066491525424 -0.14579548970339 0.198586466508475 0.105832245038983 -0.170066954830508 0.28822188661017 -0.0395875309650847 -0.589420773050848 -0.456781540677966 -0.972923131186441 0.848431402881356 -0.356341643050847 0.0819139581016949 0.924184268983051 -0.322984228474576 -0.576205905932203 -0.398423764067797 -0.274981395027119 -0.751726649661017 -0.772500823898305 -0.314551302813559 -0.0127912809237288 -0.278516797847458 0.0624083924322034 0.224548708762712 -0.0530258157347458 -0.0482382316949153 -0.0210941966983051 -0.275890869744068 -0.186864722484746 0.105900774240678 -0.652497278644068 -0.470018732372881 -0.533046952542373 -0.559856635084746 -0.0954595207311864 -0.216952011240678 0.338116581991525 0.0648991809491525 -0.546794286457627 -0.274301556745763 -0.65737600779661 -0.403612758813559 -0.547911950338983 -0.557798151355932 -0.580948398983051 -0.590580568305085 -0.668476626779661 -0.547911950338983 -0.878294329661017 -0.893178980847458 -0.952936305254237 -0.959608059661017 -0.912958478813559 -0.927007838644068 -0.324289427932203 -0.577105211694915 -0.169064352813559 -0.164091969449153 -0.530704814745763 -0.651792839661017 -0.583249293389831 -0.558104554745763
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.855769229166667 -0.281748011416667 -0.0618894458958333 0.300599486708333 -0.153766258147917 0.150632529364583 -0.223042125123333 -0.586153456458333 -0.536903513125 -0.882496886875 0.739968479166667 -0.409155973541667 -0.16941086053125 0.788772288958333 -0.406181630208333 -0.561499435625 -0.448810898791667 -0.402225158458333 -0.639694263125 -0.799903825833333 -0.692208115 0.0223930666395833 -0.45803089125 -0.138556992870208 0.307773663458333 -0.0576912634583333 -0.0320883097395833 -0.0153229899979167 -0.12273565158125 0.0786132273125 0.1841551464375 -0.689746590208333 -0.461828638333333 -0.459758488958333 -0.218072471479167 0.1603156019375 -0.07243523754375 0.242502875958333 0.1574097324375 -0.412252240104167 -0.1617572014375 -0.518283386708333 0.35084663685625 -0.572816438541667 -0.597291719166667 -0.629021841875 -0.616397637916667 -0.632349750208333 -0.572816438541667 -0.815283784791667 -0.915386958958333 -0.958079713958333 -0.942656223541667 -0.893582171875 -0.893711365 -0.14531853915625 -0.36672824375 -0.189511136902083 -0.2604238389625 -0.450612184791667 -0.438620401875 -0.60079849625 -0.621820202916667
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 -0.854337150638298 -0.273711609659574 0.0119309606468085 0.249360961795745 -0.111592149367021 0.123361148080851 0.0918738070170213 -0.352486510638298 -0.213770938293617 -0.932341935744681 0.809803481276596 -0.327251132978723 -0.0369105076489362 0.864411659361702 -0.31218046106383 -0.334580552553191 0.0800458658021277 -0.143594839046809 -0.337637190574468 -0.545682586404255 -0.353242835442553 0.22422710973617 -0.530707239361702 -0.0715963052904255 0.132899850775532 -0.11594735287234 -0.00482329231914894 0.00349341237659574 -0.0680379443744681 0.0455148915659574 0.230421193882979 -0.502539408553191 0.0142176416668085 -0.458732747446809 -0.422987665106383 0.168943468525532 -0.0533051921234043 0.358804994757447 0.212135428978723 -0.483473687680851 -0.505165635170213 -0.824026917021277 -0.542331928851064 -0.410872671489362 -0.343187875404255 -0.402210274542553 -0.340174989935745 -0.535360485319149 -0.410872671489362 -0.666493492765957 -0.761242850638298 -0.886103894255319 -0.858973831914894 -0.778395435319149 -0.79951742212766 0.293424826591489 -0.0214787881723404 0.222247409576596 0.227480732542553 -0.320838543553191 -0.372576755361702 -0.380175306489362 -0.343698985425532
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.936454849565217 0.08519282071 0.150193956163043 0.114170112521739 0.176580528906522 -0.12420554726087 -0.980617427391304 -0.987285656956522 -0.991905091521739 -0.955709075869565 0.870587756956522 -0.114777271347826 0.201170706086957 0.950714034347826 -0.0898988765652174 -0.986769805869565 -0.985475052391304 -0.982557098913043 -0.999533993043478 -0.999799137608696 -0.999492492826087 0.212113447782609 -0.1510453538 0.0380489234586957 0.0525305806521739 -0.0454706620434783 -0.0599286797043478 -0.117833479054348 -0.14258400858587 -0.146327425841087 0.182080612630435 -0.990555503913043 -0.980723688043478 -0.977356188695652 -0.963522659782609 0.18423333736087 -0.0686005071304348 0.0587966712826087 0.192636236913043 -0.631654962152174 -0.0737132346347826 -0.443023435608696 -0.187090071663043 -0.991081493913043 -0.989594919565217 -0.990721259130435 -0.989208586521739 -0.988705347608696 -0.991081493913043 -0.999276990869565 -0.999581829130435 -0.999531492608696 -0.99933459173913 -0.998510241086957 -0.997360998913043 -0.96127374826087 -0.955575602173913 -0.983874698913043 -0.984124185869565 -0.971840596086956 -0.961385745217391 -0.989861950869565 -0.989632908913043
